keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Erdbeben',de,Hazard,#4287f5,#638ed4,3,0.2636780158512896
'Erdbeben Rettungskräfte',de,Mitigation,#9e3215,#d64118,3,0.22335892625326453
'Erdbeben Epizentrum',de,Hazard,#4287f5,#3b4a63,3,0.2232112844134053
'Erdbeben verschüttet',de,Impacts,#a89216,#a89216,3,0.2160533576516128
'Erdbeben Schäden',de,Impacts,#a89216,#87830f,3,0.2077669358461821
'Erdbeben Plattengrenze',de,Causes,#679e2c,#61b00c,1,0.1511124565954713
'schweres Erdbeben',de,Hazard,#4287f5,#638ed4,2,0.115971322267307
'Erdbeben Überlebende',de,Mitigation,#9e3215,#9e3215,3,0.1072827268366011
'Erdbeben Tote',de,Impacts,#a89216,#87830f,3,0.1068365054858984
'starkes Erdbeben',de,Hazard,#4287f5,#638ed4,1,0.1035790019799344
'Erdbeben Rettungsarbeiten',de,Mitigation,#9e3215,#b55035,2,0.0767175157089297
'Erdbeben Verletzte',de,Impacts,#a89216,#87830f,2,0.0613120220275068
'Erdbeben Hilfsgüter',de,Mitigation,#9e3215,#802d16,2,0.0592800755283864
'Erdbeben Verwerfung',de,Causes,#679e2c,#7db344,1,0.0362434227745343
'erdbebensicher',de,Mitigation,#9e3215,#802d16,1,0.0316213689915049
'Erdbeben Spenden',de,Mitigation,#9e3215,#802d16,1,0.0169169922351902
'Erdbeben Trümmer',de,Impacts,#a89216,#a89216,1,0.015576368473682
'Schwarmbeben',de,Hazard,#4287f5,#3b4a63,1,0.0141456857435631
'Erdbeben Erdplatte',de,Causes,#679e2c,#679e2c,1,0.0111986530176381
'Erdbeben Aufräumarbeiten',de,Mitigation,#9e3215,#9e3215,1,0.001512380004098
'Erdbeben Scherzone',de,Causes,#679e2c,#7db344,1,0.000220719215679
'Erdbeben Platten Tektonik',de,Causes,#679e2c,#477515,1,1.083969410344406e-08
